xm,bj,xb,yw,sx,wy,zz,ls,dl,wl,hx,sw,wlfk,zcj
于湘婷,1102,女,82,75,87,87,79,96,61,84,84,文科,735
谈青妹,1102,女,82,80,79,88,86,88,75,72,80,文科,730
昝美君,1102,女,88,83,80,93,83,94,59,76,73,文科,729
汲旭,1102,男,84,68,89,90,87,78,58,86,86,文科,726
仇香燕,1102,女,89,51,83,98,87,84,73,80,81,文科,726
史国华,1102,男,82,83,87,86,89,90,58,72,78,文科,725
苍启信,1102,男,74,62,82,88,79,90,82,88,78,文科,723
鄂凤英,1102,女,86,70,76,90,86,84,72,76,82,文科,722
阳强云,1102,男,89,74,77,91,78,84,74,78,77,文科,722
史浩洋,1102,男,83,65,79,89,82,80,79,84,79,文科,720
李树丽,1102,女,88,70,78,91,89,94,62,80,68,文科,720
云雪真,1102,女,88,73,83,94,82,92,49,82,68,文科,711
宫红霞,1102,女,82,56,90,94,83,81,65,68,81,文科,700
荀小娟,1102,女,83,73,78,86,74,82,62,86,69,文科,693
臧小江,1102,男,80,68,74,87,76,84,44,80,69,文科,662
僪福星,1102,男,85,63,76,72,72,80,53,82,68,文科,651
齐菊聪,1103,女,90,87,89,92,93,88,91,94,90,文科,814
双素莲,1103,女,89,77,90,97,92,94,80,98,91,文科,808
蔡玉燕,1103,女,91,75,82,90,94,98,85,96,93,文科,804
葛园,1103,女,91,82,94,97,80,94,83,96,86,文科,803
锺起国,1103,男,80,95,87,95,93,96,80,90,84,文科,800
黄敏敏,1103,女,87,88,89,98,87,94,74,88,92,文科,797
翟江,1103,男,87,91,88,84,91,92,83,90,90,文科,796
符清华,1103,男,85,95,77,94,98,90,80,92,84,文科,795
戎红娟,1103,女,86,85,84,93,91,90,81,94,90,文科,794
储斌,1103,男,91,84,86,96,96,96,71,88,86,文科,794
宫卓,1103,男,70,86,86,94,87,92,92,98,88,文科,793
家莹,1103,女,84,84,86,90,85,92,92,82,95,文科,790
杭金华,1103,女,82,80,85,91,87,94,85,96,85,文科,785
